molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,assay_chembl_id
CHEMBL941,CHEMBL385,IC50,109.0,nM,CHEMBL1249214
CHEMBL941,CHEMBL397,IC50,10000.0,nM,CHEMBL1249215
CHEMBL941,CHEMBL3879801,IC50,111.0,nM,CHEMBL1249216
CHEMBL941,CHEMBL3879801,IC50,257.0,nM,CHEMBL1249217
CHEMBL941,CHEMBL3879801,IC50,10000.0,nM,CHEMBL1249218
CHEMBL941,CHEMBL3879801,IC50,10000.0,nM,CHEMBL1249219
CHEMBL941,CHEMBL3879801,IC50,27.0,nM,CHEMBL1249220
CHEMBL941,CHEMBL3879801,IC50,10000.0,nM,CHEMBL1249221
CHEMBL941,CHEMBL3879801,IC50,10000.0,nM,CHEMBL1249223
CHEMBL941,CHEMBL3879801,IC50,190.0,nM,CHEMBL1249670
CHEMBL941,CHEMBL3879801,IC50,339.0,nM,CHEMBL1249668
CHEMBL941,CHEMBL3879801,IC50,962.0,nM,CHEMBL1249667
CHEMBL941,CHEMBL2096618,IC50,750.0,nM,CHEMBL1246089
CHEMBL941,CHEMBL2096618,IC50,473.0,nM,CHEMBL1251496
CHEMBL941,CHEMBL2096618,IC50,221.0,nM,CHEMBL1251495
CHEMBL941,CHEMBL2007,IC50,72.0,nM,CHEMBL1251493
CHEMBL941,CHEMBL1913,IC50,72.0,nM,CHEMBL1251492
CHEMBL941,CHEMBL1936,IC50,97.0,nM,CHEMBL1251494
CHEMBL941,CHEMBL5319,IC50,43.0,nM,CHEMBL1251491
CHEMBL941,CHEMBL5122,IC50,141.0,nM,CHEMBL1251490
CHEMBL941,CHEMBL1844,IC50,291.0,nM,CHEMBL1251497
CHEMBL941,CHEMBL385,IC50,244.0,nM,CHEMBL1251498
CHEMBL941,CHEMBL3879801,IC50,678.0,nM,CHEMBL1251499
CHEMBL941,CHEMBL3879801,IC50,39.0,nM,CHEMBL1251500
CHEMBL941,CHEMBL3879801,IC50,108.0,nM,CHEMBL1251501
CHEMBL941,CHEMBL3879801,IC50,358.0,nM,CHEMBL1251502
CHEMBL941,CHEMBL3879801,IC50,9459.0,nM,CHEMBL1251503
CHEMBL941,CHEMBL385,IC50,580.0,nM,CHEMBL1764257
CHEMBL941,CHEMBL2096618,IC50,309.0,nM,CHEMBL1763239
CHEMBL941,CHEMBL385,IC50,380.0,nM,CHEMBL1763240
CHEMBL941,CHEMBL3879801,IC50,337.0,nM,CHEMBL1763241
CHEMBL941,CHEMBL385,IC50,6.05,nM,CHEMBL1763242
CHEMBL941,CHEMBL1862,IC50,2700.0,nM,CHEMBL1768765
CHEMBL941,CHEMBL1936,IC50,370.0,nM,CHEMBL1768766
CHEMBL941,CHEMBL2007,IC50,160.0,nM,CHEMBL1768767
CHEMBL941,CHEMBL385,IC50,5400.0,nM,CHEMBL1816251
CHEMBL941,CHEMBL220,IC50,,,CHEMBL1909212
CHEMBL941,CHEMBL226,IC50,,,CHEMBL1909213
CHEMBL941,CHEMBL251,IC50,,,CHEMBL1909214
CHEMBL941,CHEMBL256,IC50,,,CHEMBL1909215
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909084
CHEMBL941,CHEMBL319,IC50,,,CHEMBL1909085
CHEMBL941,CHEMBL315,IC50,,,CHEMBL1909086
CHEMBL941,CHEMBL223,IC50,,,CHEMBL1909087
